,calc_key,potential_LAMMPS_key,potential_LAMMPS_id,potential_key,potential_id,composition,prototype,family,a,b,c,alpha,beta,gamma,strainrange,straindirection,C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66
231,427277e3-8ee4-4e54-a221-af513a5483bd,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-07,negative,259.143,69.525,69.525,0.000,-0.000,0.000,69.525,259.143,69.525,0.000,-0.000,-0.000,69.525,69.525,259.143,0.000,-0.000,0.000,0.000,0.000,-0.000,5.481,-0.000,-0.000,0.000,0.000,-0.000,0.000,5.481,0.000,0.000,-0.000,0.000,0.000,-0.000,5.481
230,427277e3-8ee4-4e54-a221-af513a5483bd,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-07,positive,259.143,69.525,69.525,-0.000,0.000,0.000,69.525,259.143,69.525,-0.000,0.000,0.000,69.525,69.525,259.143,-0.000,0.000,-0.000,-0.000,-0.000,0.000,5.481,0.000,0.000,-0.000,-0.000,0.000,-0.000,5.481,-0.000,-0.000,0.000,-0.000,-0.000,0.000,5.481
133,2de5245b-3ae7-46db-89b8-6757174b4c95,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-06,negative,259.144,69.525,69.525,0.000,-0.000,-0.000,69.525,259.144,69.525,0.000,0.000,-0.000,69.525,69.525,259.144,0.000,0.000,0.000,0.000,0.000,-0.000,5.481,-0.000,0.000,0.000,0.000,-0.000,0.000,5.481,0.000,0.000,-0.000,0.000,0.000,-0.000,5.481
132,2de5245b-3ae7-46db-89b8-6757174b4c95,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-06,positive,259.142,69.525,69.525,-0.000,0.000,-0.000,69.525,259.142,69.525,-0.000,0.000,-0.000,69.525,69.525,259.142,-0.000,0.000,0.000,-0.000,-0.000,0.000,5.481,0.000,-0.000,-0.000,-0.000,0.000,-0.000,5.481,-0.000,-0.000,0.000,-0.000,-0.000,0.000,5.481
533,a3647eea-6a4d-4164-b26d-a045bf1a3c35,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-05,negative,259.155,69.527,69.527,0.000,0.000,0.000,69.527,259.155,69.527,0.000,-0.000,0.000,69.527,69.527,259.155,0.000,-0.000,0.000,0.000,0.001,-0.000,5.481,-0.000,0.000,0.001,0.000,-0.000,-0.000,5.481,0.000,0.001,-0.000,0.000,0.000,-0.000,5.481
532,a3647eea-6a4d-4164-b26d-a045bf1a3c35,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-05,positive,259.131,69.523,69.523,-0.000,0.000,0.000,69.523,259.131,69.523,-0.000,0.000,0.000,69.523,69.523,259.131,-0.000,0.000,-0.000,-0.000,-0.001,0.000,5.481,0.000,0.000,-0.001,-0.000,0.000,-0.000,5.481,0.000,-0.001,0.000,-0.000,-0.000,0.000,5.481
303,5d172d6d-4002-42ad-8cc5-f9e7bb333413,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A2--W--bcc,A2--W--bcc,2.8716239520697187,2.8716239520697187,2.8716239520697187,90.0,90.0,90.0,1e-08,negative,135.417,138.614,138.614,-0.000,0.000,-0.000,138.614,135.417,138.614,0.000,0.000,-0.000,138.614,138.614,135.417,0.000,0.000,-0.000,0.000,0.000,0.000,91.200,0.000,0.000,0.000,0.000,0.000,0.000,91.200,-0.000,0.000,0.000,0.000,0.000,0.000,91.200
302,5d172d6d-4002-42ad-8cc5-f9e7bb333413,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A2--W--bcc,A2--W--bcc,2.8716239520697187,2.8716239520697187,2.8716239520697187,90.0,90.0,90.0,1e-08,positive,135.417,138.614,138.614,-0.000,-0.000,0.000,138.614,135.417,138.614,0.000,-0.000,0.000,138.614,138.614,135.417,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,91.200,-0.000,0.000,-0.000,-0.000,-0.000,0.000,91.200,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,91.200
729,e0777344-67d0-4f56-ae3c-fe6b56a8f374,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A2--W--bcc,A2--W--bcc,2.8716239520697187,2.8716239520697187,2.8716239520697187,90.0,90.0,90.0,1e-07,negative,135.417,138.614,138.614,-0.000,0.000,-0.000,138.614,135.417,138.614,0.000,0.000,-0.000,138.614,138.614,135.417,0.000,0.000,0.000,0.000,-0.000,0.000,91.200,0.000,-0.000,-0.000,0.000,0.000,-0.000,91.200,-0.000,-0.000,0.000,0.000,0.000,0.000,91.200
728,e0777344-67d0-4f56-ae3c-fe6b56a8f374,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A2--W--bcc,A2--W--bcc,2.8716239520697187,2.8716239520697187,2.8716239520697187,90.0,90.0,90.0,1e-07,positive,135.417,138.614,138.614,-0.000,-0.000,0.000,138.614,135.417,138.614,-0.000,-0.000,0.000,138.614,138.614,135.417,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,91.200,-0.000,0.000,0.000,-0.000,-0.000,-0.000,91.200,0.000,0.000,-0.000,-0.000,-0.000,-0.000,91.200
