# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = CuNi

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                B1--NaCl         B2--CsCl         B3--ZnS          L1_0--AuCu      
    3.4874371859    -1.0847638527    -1.4405721767    -0.8340442164    -1.5683456039
    3.5075376884    -1.0504785158    -1.3957614343    -0.8074193292    -1.5214887622
    3.5276381909    -1.0176972292    -1.3516126306    -0.7813828457    -1.4755191212
    3.5477386935    -0.9856303600    -1.3081864771    -0.7558727866    -1.4305786449
    3.5678391960    -0.9542801842    -1.2657116800    -0.7309311927    -1.3863483534
    3.5879396985    -0.9236324037    -1.2242297996    -0.7065946780    -1.3428177340
    3.6080402010    -0.8936739350    -1.1836906179    -0.6828928883    -1.3002093026
    3.6281407035    -0.8644063244    -1.1440758566    -0.6598159567    -1.2585709824
    3.6482412060    -0.8358345728    -1.1053847681    -0.6373102060    -1.2179094366
    3.6683417085    -0.8079588644    -1.0676104239    -0.6154307968    -1.1782890139
    3.6884422111    -0.7807521825    -1.0307309707    -0.5942348381    -1.1395669282
    3.7085427136    -0.7541360260    -0.9947393332    -0.5738226941    -1.1017382085
    3.7286432161    -0.7281331827    -0.9596337592    -0.5541382332    -1.0647949772
    3.7487437186    -0.7027858745    -0.9253935668    -0.5351051879    -1.0287233577
    3.7688442211    -0.6780994779    -0.8919906526    -0.5166917038    -0.9935127167
    3.7889447236    -0.6540173769    -0.8594245271    -0.4988910628    -0.9591526146
    3.8090452261    -0.6306016487    -0.8276908598    -0.4815355175    -0.9256334131
    3.8291457286    -0.6079079104    -0.7967676425    -0.4644900038    -0.8929428597
    3.8492462312    -0.5859817664    -0.7666362200    -0.4476591859    -0.8610628788
    3.8693467337    -0.5649248512    -0.7372008145    -0.4309793141    -0.8299739780
    3.8894472362    -0.5446764922    -0.7085071493    -0.4144114741    -0.7996702023
    3.9095477387    -0.5251898017    -0.6805271100    -0.3979360117    -0.7701568515
    3.9296482412    -0.5063940646    -0.6532734652    -0.3815479499    -0.7414014750
    3.9497487437    -0.4880802296    -0.6268379517    -0.3652532413    -0.7133095215
    3.9698492462    -0.4700920695    -0.6012866235    -0.3490468050    -0.6858378199
    3.9899497487    -0.4523197856    -0.5766894284    -0.3329261536    -0.6590693003
    4.0100502513    -0.4346903744    -0.5531443581    -0.3169095038    -0.6330920516
    4.0301507538    -0.4171596643    -0.5305636203    -0.3010758655    -0.6079699519
    4.0502512563    -0.3997057592    -0.5088082225    -0.2855280290    -0.5837468690
    4.0703517588    -0.3823236674    -0.4875762150    -0.2703456170    -0.5604900825
    4.0904522613    -0.3650209244    -0.4666456830    -0.2555889853    -0.5383239947
    4.1105527638    -0.3478102869    -0.4458645268    -0.2413025262    -0.5170518178
    4.1306532663    -0.3306399972    -0.4251353861    -0.2275174626    -0.4963641806
    4.1507537688    -0.3135548570    -0.4044001431    -0.2142542064    -0.4760356907
    4.1708542714    -0.2966937637    -0.3846663263    -0.2015243473    -0.4559086898
    4.1909547739    -0.2801665660    -0.3653798061    -0.1893323238    -0.4358789984
    4.2110552764    -0.2640574725    -0.3461306003    -0.1776768265    -0.4158841768
    4.2311557789    -0.2484294735    -0.3268292945    -0.1665519729    -0.3958938971
    4.2512562814    -0.2333280710    -0.3075934104    -0.1559482886    -0.3759020875
    4.2713567839    -0.2187844218    -0.2886064884    -0.1458535237    -0.3559205578
    4.2914572864    -0.2048179797    -0.2703086758    -0.1362533305    -0.3359159059
    4.3115577889    -0.1914387132    -0.2534941410    -0.1271318235    -0.3158739425
    4.3316582915    -0.1786489628    -0.2372205014    -0.1184720400    -0.2960011896
    4.3517587940    -0.1664449920    -0.2215308704    -0.1102563175    -0.2764681086
    4.3718592965    -0.1548182805    -0.2064535818    -0.1024666003    -0.2574049894
    4.3919597990    -0.1437565975    -0.1920049873    -0.0950846878    -0.2389090973
    4.4120603015    -0.1332448913    -0.1781917974    -0.0880924324    -0.2210506691
    4.4321608040    -0.1232660219    -0.1650130325    -0.0814718976    -0.2038779351
    4.4522613065    -0.1138013633    -0.1524616474    -0.0752054802    -0.1874213157
    4.4723618090    -0.1048312959    -0.1405258785    -0.0692760052    -0.1716969212
    4.4924623116    -0.0963356056    -0.1291903578    -0.0636667968    -0.1567094629
    4.5125628141    -0.0882938061    -0.1184370300    -0.0583617296    -0.1424546661
    4.5326633166    -0.0806853961    -0.1082459049    -0.0533452641    -0.1289212669
    4.5527638191    -0.0734900634    -0.0985956711    -0.0486024691    -0.1160926566
    4.5728643216    -0.0666878439    -0.0894641945    -0.0441190345    -0.1039482311
    4.5929648241    -0.0602592441    -0.0808289189    -0.0398812740    -0.0924644943
    4.6130653266    -0.0541853323    -0.0726671870    -0.0358761225    -0.0816161871
    4.6331658292    -0.0484478055    -0.0649564934    -0.0320911276    -0.0718002346
    4.6532663317    -0.0430290357    -0.0576746826    -0.0285144368    -0.0633483349
    4.6733668342    -0.0379120994    -0.0508001008    -0.0251347822    -0.0553468464
    4.6934673367    -0.0330807937    -0.0443117099    -0.0219414623    -0.0477989311
    4.7135678392    -0.0285196415    -0.0381891708    -0.0189243224    -0.0406811921
