# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Cu3Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A15--Cr3Si       D0_3--BiF3       L1_2--AuCu3     
    3.8693467337    -0.3598236479    -0.7193074628    -0.8744009361
    3.8894472362    -0.3390679553    -0.6919129425    -0.8441033836
    3.9095477387    -0.3182667244    -0.6651601887    -0.8145378451
    3.9296482412    -0.2975725140    -0.6391385878    -0.7857078531
    3.9497487437    -0.2771949472    -0.6139146952    -0.7576175277
    3.9698492462    -0.2572933582    -0.5895359410    -0.7302487274
    3.9899497487    -0.2379860417    -0.5660445578    -0.7034507905
    4.0100502513    -0.2193579587    -0.5435332265    -0.6772357954
    4.0301507538    -0.2014693511    -0.5220155008    -0.6516930561
    4.0502512563    -0.1855927950    -0.5012274788    -0.6268901967
    4.0703517588    -0.1720718007    -0.4809178881    -0.6028766359
    4.0904522613    -0.1591972067    -0.4609046818    -0.5796865750
    4.1105527638    -0.1469595811    -0.4410611859    -0.5573480532
    4.1306532663    -0.1353448875    -0.4213045958    -0.5360342191
    4.1507537688    -0.1243356294    -0.4015850113    -0.5155832972
    4.1708542714    -0.1139117869    -0.3823542899    -0.4957267291
    4.1909547739    -0.1040515797    -0.3633508789    -0.4762649037
    4.2110552764    -0.0947320846    -0.3443903301    -0.4570539375
    4.2311557789    -0.0859297317    -0.3254091173    -0.4379946166
    4.2512562814    -0.0776206997    -0.3064498697    -0.4190231785
    4.2713567839    -0.0697820389    -0.2876911423    -0.4001036587
    4.2914572864    -0.0623934382    -0.2697280600    -0.3812215628
    4.3115577889    -0.0570258728    -0.2537168449    -0.3623786616
    4.3316582915    -0.0521076829    -0.2381904121    -0.3435859651
    4.3517587940    -0.0474565254    -0.2231895190    -0.3247740828
    4.3718592965    -0.0430584661    -0.2087419688    -0.3060116389
    4.3919597990    -0.0389003061    -0.1948649388    -0.2874638586
    4.4120603015    -0.0349698417    -0.1815669475    -0.2692629655
    4.4321608040    -0.0315841201    -0.1688495115    -0.2515107431
    4.4522613065    -0.0294168508    -0.1567085389    -0.2342837218
    4.4723618090    -0.0273579819    -0.1451354969    -0.2176375709
