# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    2.6633165829    -4.2329813790    -3.2384475178    -4.0268626467    -4.2333065048    -4.2336316306    -2.5540955735    -3.3100409337    -4.1015987019    -2.5669091838    -3.2883333552
    2.6834170854    -4.1867850327    -3.1666409219    -3.9721962005    -4.1874289722    -4.1880729116    -2.5095449121    -3.2476135690    -4.0485067766    -2.5116257640    -3.2319023467
    2.7035175879    -4.1375166593    -3.0946919375    -3.9135954858    -4.1384602906    -4.1394039219    -2.4642661887    -3.1844803206    -3.9929285373    -2.4564975131    -3.1744504402
    2.7236180905    -4.0854801779    -3.0227448056    -3.8506568968    -4.0867060679    -4.0879319579    -2.4183868926    -3.1208014776    -3.9339866968    -2.4014124786    -3.1161471097
    2.7437185930    -4.0309607021    -2.9509315099    -3.7862021762    -4.0324529438    -4.0339451855    -2.3720251283    -3.0567251343    -3.8703003640    -2.3464600503    -3.0571495865
    2.7638190955    -3.9742222902    -2.8793727751    -3.7204487782    -3.9759655330    -3.9777087759    -2.3252901997    -2.9923879323    -3.8077862857    -2.2917217515    -2.9976042801
    2.7839195980    -3.9155250854    -2.8084355534    -3.6535967927    -3.9172185666    -3.9189120479    -2.2782831719    -2.9279157812    -3.7438486913    -2.2372716557    -2.9386205717
    2.8040201005    -3.8550939237    -2.7380995024    -3.5858327088    -3.8565254747    -3.8579570257    -2.2310973800    -2.8634245122    -3.6786946842    -2.1831770706    -2.8798629691
    2.8241206030    -3.7931513314    -2.6683006040    -3.5173301492    -3.7943356072    -3.7955198830    -2.1838189998    -2.7990205248    -3.6125173306    -2.1294988695    -2.8208601738
    2.8442211055    -3.7299024188    -2.5991220260    -3.4482505732    -3.7308530460    -3.7318036733    -2.1365274152    -2.7348013766    -3.5454964456    -2.0762920020    -2.7617237770
    2.8643216080    -3.6655387504    -2.5306387302    -3.3787439455    -3.6662683147    -3.6669978789    -2.0892956888    -2.6708563444    -3.4777993306    -2.0236059449    -2.7025565787
    2.8844221106    -3.6002391063    -2.4629180557    -3.3089493726    -3.6007592384    -3.6012793705    -2.0421909905    -2.6072669548    -3.4095814804    -1.9714768649    -2.6434531432
    2.9045226131    -3.5341701856    -2.3960202115    -3.2389957106    -3.5344916397    -3.5348130939    -1.9952749654    -2.5441075027    -3.3409872525    -1.9200128836    -2.5845003310
    2.9246231156    -3.4674872681    -2.3299988102    -3.1690021594    -3.4676199933    -3.4677527184    -1.9485967909    -2.4815504669    -3.2721504979    -1.8690831588    -2.5257777936
    2.9447236181    -3.4003348458    -2.2649012862    -3.0996684876    -3.4003348458    -3.4003348458    -1.9030278976    -2.4200316594    -3.2031951626    -1.8189156509    -2.4673583886
    2.9648241206    -3.3328472209    -2.2007694133    -3.0320745570    -3.3328472209    -3.3328472209    -1.8596259762    -2.3593404446    -3.1342358656    -1.7695251808    -2.4093087232
    2.9849246231    -3.2651490801    -2.1376396197    -2.9646505142    -3.2651490801    -3.2651490801    -1.8159396300    -2.2992800851    -3.0653784293    -1.7209106940    -2.3516894105
    3.0050251256    -3.1973560277    -2.0755380132    -2.8974890273    -3.1973560277    -3.1973560277    -1.7720960897    -2.2398974253    -2.9967203955    -1.6730137015    -2.2945556219
    3.0251256281    -3.1295751078    -2.0145385758    -2.8306751049    -3.1295751078    -3.1295751078    -1.7286584431    -2.1812344242    -2.9283515171    -1.6258625139    -2.2379573294
    3.0452261307    -3.0619052794    -1.9542045663    -2.7642865674    -3.0619052793    -3.0619052793    -1.6856643607    -2.1233284365    -2.8603542142    -1.5794729109    -2.1819396608
    3.0653266332    -2.9944378912    -1.8942091795    -2.6983944884    -2.9944378912    -2.9944378912    -1.6431258396    -2.0662118025    -2.7928040100    -1.5338583636    -2.1265432729
