E_coh_mean,E_coh_std,a_mean,a_std,b_mean,b_std,c_mean,c_std,composition,num_lammps,num_lammps_1_std,num_lammps_2_std,num_lammps_3_std,num_refine,num_refine_1_std,num_refine_2_std,num_refine_3_std,potential_id,prototype
2.89E-06,2.89E-06,5.377309098,0.00061637,5.377309098,0.00061637,5.377309098,0.00061637,AgH3,5,5,5,5,5,5,5,5,2013--Hale-L-M--Pd-Ag-H-Hybrid,D0_3--BiF3
0.643328029,0.643328029,3.981433898,0.03890532,6.896045999,0.067390843,14.87301169,6.926295353,C,10,0,0,0,0,0,0,0,2009--Kim-H-K--Fe-Ti-C,A7--alpha-As
7.00E-06,7.00E-06,4.548636394,0.00100347,4.548636394,0.00100347,4.548636394,0.00100347,Fe,5,5,5,5,5,5,5,5,2003--Mendelev-M-I--Fe-5,A15--beta-W
2.68E-06,2.68E-06,5.918689502,0.000894842,5.918689502,0.000894842,5.918689502,0.000894842,NiZr,20,10,10,10,20,10,10,10,2012--Mendelev-M-I--Ni-Zr,B3--ZnS--cubic-zinc-blende
0.001624191,0.001624191,8.549696631,0.000869374,8.549452667,0.000871645,8.549740817,0.000870849,UXe,50,0,0,0,50,0,0,0,2013--Smirnova-D-E--U-Mo-Xe,B3--ZnS--cubic-zinc-blende
1.09E-05,1.09E-05,3.213465213,0.000444447,5.565884926,0.000828654,15.74269952,0.002678846,Zr,5,0,0,0,4,0,0,0,2007--Mendelev-M-I--Cu-Zr,A7--alpha-As
0.23381852,0.23381852,5.599764084,0.409076294,5.350856063,0.230630911,5.309240536,0.617883055,C3Fe,5,0,0,0,5,0,0,0,2014--Liyanage-L-S-I--Fe-C,A15--Cr3Si
6.71E-06,6.71E-06,3.801489692,0.000683377,3.801489692,0.000683377,3.801489692,0.000683377,Al3Ni,5,5,5,5,5,5,5,5,2015--Purja-Pun-G-P--Ni-Al-Co,L1_2--AuCu3
0.138622669,0.138622669,21.73987603,6.88168789,20.24104319,14.79380555,21.83291507,13.1743769,C3Fe,10,0,10,10,10,0,10,10,2009--Kim-H-K--Fe-Ti-C,D0_3--BiF3
0.010952432,0.010952432,5.386328862,0.125349924,5.361041292,0.033444743,5.421283283,0.060821149,Al,5,0,0,0,5,0,0,0,2012--Schopf-D--Al-Mn-Pd,A4--C--dc
5.52E-06,5.52E-06,10.75724445,0.001656433,10.75724445,0.001656433,10.75724445,0.001656433,MoU,40,10,10,10,40,10,10,10,2013--Smirnova-D-E--U-Mo-Xe,B3--ZnS--cubic-zinc-blende
0.026512941,0.026512941,5.924759575,0.496785728,5.878232226,0.342337814,5.847416309,0.283781505,MoXe3,15,10,10,10,15,10,10,10,2013--Smirnova-D-E--U-Mo-Xe,L1_2--AuCu3
4.04E-06,4.04E-06,10.89529806,0.000929978,10.89529806,0.000929978,10.89529806,0.000929978,MoU2,20,5,5,5,20,5,5,5,2013--Smirnova-D-E--U-Mo-Xe,C1--CaF2--fluorite
2.06E-05,2.06E-05,5.003178238,0.001317287,5.003178281,0.001317049,3.5254254,0.001758719,HgSe,10,0,0,0,4,0,0,0,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L1_0--AuCu
5.91E-06,5.91E-06,4.225444533,0.000772009,4.225444533,0.000772009,4.225444533,0.000772009,HPd,10,10,10,10,10,10,10,10,2008--Zhou-X-W--Pd-H,B1--NaCl--rock-salt
0.11037616,0.11037616,2.961860414,0.456794336,2.961813141,0.458261535,2.520104536,0.530441873,Ni,5,5,5,5,5,5,5,5,2012--Mendelev-M-I--Ni,A2--W--bcc
5.50E-06,5.50E-06,2.519852822,0.000386103,4.364513116,0.000668751,8.169584244,0.001686077,Co,5,5,5,5,5,5,5,5,2015--Purja-Pun-G-P--Ni-Al-Co,A3'--alpha-La--double-hcp
