E_coh_std,E_coh_std_lammps,E_coh_std_refine,a_std,a_std_lammps,a_std_refine,b_std,b_std_lammps,b_std_refine,c_std,c_std_lammps,c_std_refine,composition,potential_id,prototype
0.124761279139,0.43821553362,0.4382155549,0.5862219904,0.37087217897,0.37087228121,0.342136517401,0.48443352454,0.48443362678,0.789214901288,0.15615825536,0.15615815312,FeNi,2009--Bonny-G--Fe-Cu-Ni,B1--NaCl--rock-salt
0.133109812025,0.01512127975,0.01512129706,0.291860387415,0.04018917651,0.04018911209,0.462161581278,0.05142294722,0.0514228828,0.230879092043,0.03323928294,0.03323934736,Ag,2006--Williams-P-L--Cu-Ag,A15--beta-W
1.10253324151e-05,0.00099044193,0.00390628391,0.00156175914508,0.02670138644,0.06800658179,0.00156175914505,0.02670138644,0.06800658179,0.0028060142196,0.04780907329,0.12334807015,AgTa,2013--Gao-H--AgTaO3,L1_0--AuCu
0.942842216939,1.33091577914,1.33091577318,0.76848760468,1.09047191792,1.09047181596,0.737233689508,1.0848078452,1.08480774324,0.749312414878,1.07726419584,1.07726409388,CrFe,2011--Bonny-G--Fe-Ni-Cr,B3--ZnS--cubic-zinc-blende
6.52879013065e-06,2.05755999971e-06,2.03634999973e-06,0.000517927876669,2.80112999995e-06,2.67679999988e-06,0.000897077397049,5.00886999966e-06,5.07750000001e-06,0.00187531281477,1.02699699998e-05,1.01337900009e-05,Ni,2013--Bonny-G--Fe-Ni-Cr,A3'--alpha-La--double-hcp
1.09555704784e-05,3.80425710963,3.80425710695,0.00443330105219,2.84159364443,2.84159354339,0.00443330105219,2.84159364443,2.84159354339,0.00443330105219,2.84159364443,2.84159354339,Ti,2016--Mendelev-M-I--Ti-1,A1--Cu--fcc
3.16980922071e-06,0.16227139581,0.162271396923,0.00185766257263,3.66768188135,3.66768183072,0.00185766257261,3.66768188135,3.66768183072,0.00185766257266,3.66768188135,3.66768183072,MoUXe2,2013--Smirnova-D-E--U-Mo-Xe,L2_1--AlCu2Mn--heusler
6.36961448709e-06,3.76690364375,3.76398240437,0.000342670202527,1.22634129644,1.22984308162,0.000593522200888,2.12408536212,2.13015017847,0.00178042275523,4.06481675735,4.04797486351,Ru,2008--Fortini-A--Ru,A3'--alpha-La--double-hcp
2.773238831,2.07673759271,2.06850853397,1.31181341303,2.5409384915,2.72686550889,1.87248528988,2.50238735712,2.66853600136,2.2830901439,2.42302104086,2.54007502139,MoU3,2013--Smirnova-D-E--U-Mo-Xe,D0_3--BiF3
2.89281623753e-06,7.9032000011e-07,7.43969999828e-07,0.000616369997765,3.76441000061e-06,3.82009000077e-06,0.000616369997766,3.76441000061e-06,3.82009000077e-06,0.000616369997765,3.76441000061e-06,3.82009000077e-06,AgH3,2013--Hale-L-M--Pd-Ag-H-Hybrid,D0_3--BiF3
