potential_LAMMPS_id,composition,Tmelt TI,alat,Tguess,Tmelt MD,Tmelt MD stderr,Notes
2017--Bonny-G--W-Re--LAMMPS--ipr1,W,higher T,,,NA,NA,
2017--Mason-D-R--W--LAMMPS--ipr1,W,higher T,,,NA,NA,
2017--OBrien-C-J--Pt-Au--LAMMPS--ipr1,Au,1003,4.25,1030,1007.980223,1.001997527,
2017--OBrien-C-J--Pt-Au--LAMMPS--ipr1,Pt,1772,4.05,1765,1771.261397,1.343020512,
2017--Purja-Pun-G-P--Au--LAMMPS--ipr1,Au,1319,4.15,1320,1316.491023,1.645288338,
2017--Wang-P--TWIP--LAMMPS--ipr1,Fe,2088,,,2086.454336,1.511134043,
2017--Wang-P--TWIP--LAMMPS--ipr2,meta_TWIP,2090,,,2086.454336,1.511134043,
2018--Chen-Y--W-Re--LAMMPS--ipr1,Re,higher T,,,3622.980177,1.581040617,
2018--Chen-Y--W-Re--LAMMPS--ipr1,W,higher T,,,NA,NA,
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Co,NA,,,1605.124359,2.543406661,
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cr,1907,,,1893.414062,2.303112875,
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cu,1169,3.72,1165,1189.305859,0.81407202,
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Fe,2703,,,2752.952025,1.698367545,
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Ni,2189,3.63,2060,2162.703518,1.328320138,
2018--Mendelev-M-I--Tb--LAMMPS--ipr1,Tb,1589,,,1586.590401,1.319141316,
2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,Ag,1204,4.24,1200,1205.885507,1.241807,
2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,Ni,1727,3.6,1660,1727.718237,1.068641,
2018--Setyawan-W--W-Re--LAMMPS--ipr1,Re,higher T,,,NA,NA,
2018--Setyawan-W--W-Re--LAMMPS--ipr1,W,higher T,,,NA,NA,
2018--Wang-K--Pb-II--LAMMPS--ipr1,Pb,623,,,618.886637,1.128085,
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2268,,,2267.19573,1.646714,
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr1,Fe,2418,,,2420.758292,1.167557,
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr1,Ni,1347,3.62,1300,1346.617886,1.132376,
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr2,Cr,2268,,,2267.19573,1.646714,
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr2,Fe,2414,,,2420.758292,1.167557,
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr2,Ni,1348,3.62,1320,1346.617886,1.132376,
2019--Chen-Y--W-Re--LAMMPS--ipr1,Re,higher T,,,NA,NA,
2019--Fischer-F--Cu-Ni--LAMMPS--ipr1,Cu,1322,3.7,1305,1322.549444,0.997945,
2019--Fischer-F--Cu-Ni--LAMMPS--ipr1,Ni,1698,3.59,1660,1699.839333,1.331573,
2019--Fischer-F--Cu-Ni--LAMMPS--ipr2,Cu,1327,3.7,1300,1323.000641,1.242038,
2019--Fischer-F--Cu-Ni--LAMMPS--ipr2,Ni,1693,3.59,1650,1695.910575,0.915552,
2019--Fischer-F--Cu-Ni--LAMMPS--ipr3,Cu,1322,3.7,1300,1321.853039,1.073613,
2019--Fischer-F--Cu-Ni--LAMMPS--ipr3,Ni,1697,3.59,1645,1698.520161,1.387802,
2019--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Cu,1353,3.7,1335,1355.063256,0.90986,
2019--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Zr,1206,,,NA,NA,Phases?
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2160,,,1734.109084,7.707397,Only 5 Tm successes
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Ni,1725,3.56,1700,1722.714955,1.260365,
2020--Chen-Y--W-Mo--LAMMPS--ipr1,Mo,NA,,,NA,NA,
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Al,NA,4.14,1055,991.451184,1.317913,
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Co,NA,,,NA,NA,
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Cr,1911,,,1909.012908,1.756952,
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Fe,data,,,2730.811938,2.061136,
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Ni,2195,3.62,2090,2195.260327,1.42482,
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Co,data,,,NA,NA,
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cr,1911,,,1911.763972,0.964781,
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cu,1166,3.72,1140,1170.500268,0.914672,
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Fe,2731,,,2728.658265,2.858147,
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Ni,2195,3.63,2070,2197.244381,1.238326,
2021--Song-H--Al-Sm--LAMMPS--ipr1,Al,936,4.14,925,939.806932,0.931989,
2021--Song-H--Al-Sm--LAMMPS--ipr1,Sm,1813,,,1810.00585,2.021721,
2021--Wen-M--Fe-H--LAMMPS--ipr1,Fe,1793,,,,,
2022--Allera-A--Fe-C--LAMMPS--ipr1,Fe,data,,,,,
2022--Clement-A--Cu-Zn--LAMMPS--ipr1,Cu,data,3.74,1210,,,
2022--Clement-A--Cu-Zn--LAMMPS--ipr1,Zn,data,,,,,
2022--Mendelev-M-I--Ni-Al--LAMMPS--ipr1,Al,927,4.13,930,,,
2022--Mendelev-M-I--Ni-Al--LAMMPS--ipr1,Ni,1698,3.54,1650,,,
2022--Mendelev-M-I--Ni-Nb--LAMMPS--ipr1,Nb,NA,,,,,
2022--Mendelev-M-I--Ni-Nb--LAMMPS--ipr1,Ni,1798,3.61,1730,,,
2022--Sun-Y--Fe--LAMMPS--ipr1,Fe,data,,,,,
2022--Zhou-M--Zr--LAMMPS--ipr1,Zr,1587,,,,,
2023--Al-Awad-A-S--Li--LAMMPS--ipr1,Li,data,,,,,
2023--Al-Awad-A-S--Pb-Li--LAMMPS--ipr1,Li,data,,,,,
2023--Al-Awad-A-S--Pb-Li--LAMMPS--ipr1,Pb,data,,,,,
2023--Kumar-P--Fe-H--LAMMPS--ipr1,Fe,data,,,,,
2023--Mason-D-R--W-H--LAMMPS--ipr1,W,data,,,,,
2024--Sun-Y--Fe-Ni--LAMMPS--ipr1,Fe,data,,,err,,
2024--Sun-Y--Fe-Ni--LAMMPS--ipr1,Ni,data,,,,,
