potential_LAMMPS_id,composition,Tmelt TI,alat,Tguess,Tmelt MD,Tmelt MD stderr,Notes
1999--Liu-X-Y--Al-Cu--LAMMPS--ipr1,Cu,1279,3.69,1250,1279.21987,1.655551075,
1999--Mishin-Y--Al--LAMMPS--ipr1,Al,1041,4.13,1025,1040.408163,1.04026999,
1999--Mishin-Y--Ni--LAMMPS--ipr1,Ni,2193,3.62,2085,2195.124066,1.36399172,
2000--Landa-A--Al-Pb--LAMMPS--ipr1,Al,923,4.11,930,923.1308009,1.019804861,
2000--Landa-A--Al-Pb--LAMMPS--ipr1,Pb,618,,,614.0126425,0.971317136,
2000--Sturgeon-J-B--Al--LAMMPS--ipr1,Al,"NA, data?",4.15,900,931.4965074,0.736283482,
2001--Mishin-Y--Cu-1--LAMMPS--ipr1,Cu,1324,3.7,1300,1323.263539,1.461992145,
2002--Mishin-Y--Ni-Al--LAMMPS--ipr1,Al,1210,4.24,1150,1211.882062,0.640722546,
2002--Mishin-Y--Ni-Al--LAMMPS--ipr1,Ni,1396,3.51,1340,1397.065258,1.369719806,
2003--Han-S--V--LAMMPS--ipr1,V,NA,,,NA,NA,
2003--Han-S--W--LAMMPS--ipr1,W,NA,,,4679.500999,5.25501751,
2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Cu,1298,3.68,1260,1280.927934,1.171411229,
2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Pb,604,,,614.4642201,0.829366886,
2003--Li-Y-H--Ta--LAMMPS--ipr1,Ta,NA,,,NA,NA,
2003--Mendelev-M-I--Fe-2--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2003--Mendelev-M-I--Fe-2--LAMMPS--ipr3,Fe,1767,,,NA,NA,
2003--Mendelev-M-I--Fe-5--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2003--Zope-R-R--Al--LAMMPS--ipr1,Al,870,4.12,840,866.9129121,0.678682372,
2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Al,870,4.12,855,868.3547278,0.947084711,
2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Ti,1465,,,1483.78143,0.935252863,
2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,P,1289,,,1289.722287,0.961366512,
2004--Liu-X-Y--Al--LAMMPS--ipr1,Al,887,4.16,900,883.1653277,0.809869734,
2004--Mishin-Y--Ni-Al--LAMMPS--ipr1,Al,871,4.12,840,868.2678356,0.758250262,
2004--Mishin-Y--Ni-Al--LAMMPS--ipr1,Ni,1691,3.59,1650,1696.979275,1.220205646,
2004--Mishin-Y--Ni-Al--LAMMPS--ipr2,Al,870,4.12,850,868.3322091,0.826588127,
2004--Mishin-Y--Ni-Al--LAMMPS--ipr2,Ni,1694,3.59,1650,1697.696732,1.19570776,
2004--Zhou-X-W--Ag--LAMMPS--ipr1,Ag,1140,4.2,1130,1138.80542,1.268389568,
2004--Zhou-X-W--Ag--LAMMPS--ipr2,Ag,1137,4.2,1130,1138.897575,1.063299433,
2004--Zhou-X-W--Al--LAMMPS--ipr1,Al,576,4.16,580,574.5804884,0.456188091,
2004--Zhou-X-W--Al--LAMMPS--ipr2,Al,576,4.16,570,575.8662609,1.039768823,
2004--Zhou-X-W--Au--LAMMPS--ipr1,Au,1146,4.17,1150,1139.216653,0.809667674,
2004--Zhou-X-W--Au--LAMMPS--ipr2,Au,1141,4.17,1150,1140.956064,1.576530376,
2004--Zhou-X-W--Co--LAMMPS--ipr1,Co,1748,,,1744.584242,1.929737499,
2004--Zhou-X-W--Co--LAMMPS--ipr2,Co,1745,,,1742.592859,1.493947626,
2004--Zhou-X-W--Cu--LAMMPS--ipr1,Cu,1178,3.7,1170,1179.108225,1.369034734,
2004--Zhou-X-W--Cu--LAMMPS--ipr2,Cu,1178,3.72,1170,1177.000955,1.170596292,
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr1,Ag,1141,4.2,1120,1140.102261,1.167226717,
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr1,Au,1141,4.17,1145,1139.807889,1.317089873,
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr1,Cu,1170,3.71,1160,1177.694787,0.763212623,
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr2,Ag,1140,4.2,1140,1137.646961,1.287812975,
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr2,Au,1143,4.16,1150,1138.654201,1.655216393,
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr2,Cu,1174,3.72,1165,1176.196176,0.967894407,
2004--Zhou-X-W--Fe--LAMMPS--ipr1,Fe,2044,,,NA,NA,
2004--Zhou-X-W--Fe--LAMMPS--ipr2,Fe,2052,,,NA,NA,
2004--Zhou-X-W--Mg--LAMMPS--ipr1,Mg,688,,,688.2292324,0.442490937,
2004--Zhou-X-W--Mg--LAMMPS--ipr2,Mg,685,,,689.0206606,0.731604237,
2004--Zhou-X-W--Mo--LAMMPS--ipr1,Mo,NA,,,NA,NA,
2004--Zhou-X-W--Mo--LAMMPS--ipr2,Mo,NA,,,NA,NA,
2004--Zhou-X-W--Ni--LAMMPS--ipr1,Ni,1514,3.63,1460,1515.48661,1.795273206,
2004--Zhou-X-W--Ni--LAMMPS--ipr2,Ni,1514,3.62,1460,1513.912971,1.010891803,
2004--Zhou-X-W--Pb--LAMMPS--ipr1,Pb,631,,,625.546764,0.755076282,
2004--Zhou-X-W--Pb--LAMMPS--ipr2,Pb,629,,,625.9018332,1.128838199,
2004--Zhou-X-W--Pd--LAMMPS--ipr1,Pd,1594,3.97,1550,1590.87003,1.387595685,
2004--Zhou-X-W--Pd--LAMMPS--ipr2,Pd,1591,3.98,1575,1594.236946,1.465570763,
2004--Zhou-X-W--Pt--LAMMPS--ipr1,Pt,1470,3.99,1480,1467.219692,2.053723806,
2004--Zhou-X-W--Pt--LAMMPS--ipr2,Pt,1469,4,1465,1466.662248,1.51555343,
2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr1,Cu,1178,3.74,1175,1180.50902,0.967696706,
2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr2,Cu,1178,3.72,1175,1178.018966,0.987221277,
2004--Zhou-X-W--Ti--LAMMPS--ipr1,Ti,1580,,,1576.741207,1.269076566,
2004--Zhou-X-W--Ti--LAMMPS--ipr2,Ti,1579,,,1578.789384,1.046398604,
2004--Zhou-X-W--W--LAMMPS--ipr1,W,NA,,,4379.415309,17.29793395,
2004--Zhou-X-W--W--LAMMPS--ipr2,W,NA,,,4377.651194,5.745389369,
