potential_LAMMPS_id,composition,a,Epot (eV/atom)
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr1,Ag,2.8832615265522987,-2.84906001337045
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr1,Au,2.875955563128162,-3.92948384696145
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr2,Ag,2.883253670767295,-2.8490600653613507
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr2,Au,2.8759691593499213,-3.929483702546049
2004--Zhou-X-W--Cu-Ag-Au--LAMMPS--ipr2,Cu,2.545259650350464,-3.53729202792545
2004--Zhou-X-W--Mo--LAMMPS--ipr1,Mo,2.9127628944470745,-6.6560968956605
2004--Zhou-X-W--Ni--LAMMPS--ipr1,Ni,2.482895486125757,-4.433936355021451
2004--Zhou-X-W--Ni--LAMMPS--ipr2,Ni,2.4828907502360016,-4.433936635113649
2004--Zhou-X-W--Pb--LAMMPS--ipr1,Pb,3.4890829869522477,-2.0189546511206498
2004--Zhou-X-W--Pb--LAMMPS--ipr2,Pb,3.489069283190344,-2.0189545514889495
2004--Zhou-X-W--Pd--LAMMPS--ipr1,Pd,2.7388637528192588,-3.9075329798372493
2004--Zhou-X-W--Pd--LAMMPS--ipr2,Pd,2.7388683570654955,-3.9075331024178004
2004--Zhou-X-W--Pt--LAMMPS--ipr1,Pt,2.741910282059496,-5.7599278962385
2004--Zhou-X-W--Pt--LAMMPS--ipr2,Pt,2.7419059715418808,-5.759927994809002
2004--Zhou-X-W--Ti--LAMMPS--ipr1,Ti,2.940533996368793,-4.8700241966963
2004--Zhou-X-W--Zr--LAMMPS--ipr1,Zr,3.2082312758668996,-6.360052895935001
2004--Zhou-X-W--Zr--LAMMPS--ipr2,Zr,3.208248205109352,-6.360052381869
2005--Grochola-G--Au--LAMMPS--ipr1,Au,2.8783947655500945,-3.914678158766649
2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,Al,2.8434507245733416,-3.3423322930140005
2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,Fe,2.6054481889711867,-3.8968123155496004
2006--Williams-P-L--Ag--LAMMPS--ipr1,Ag,2.8963894046722567,-2.84615249773605
2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,Ag,2.896389404234426,-2.84615249773215
2007--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Zr,3.2202984756738013,-6.469265894737499
2007--Mendelev-M-I--V-Fe--LAMMPS--ipr1,Fe,2.605447432727913,-3.8968123148178493
2007--Mendelev-M-I--Zr-2--LAMMPS--ipr1,Zr,3.220298448366515,-6.4692658947225
2007--Mendelev-M-I--Zr-2--LAMMPS--ipr2,Zr,3.2202993849460073,-6.469265893629498
2007--Mendelev-M-I--Zr-3--LAMMPS--ipr1,Zr,3.2340554788368387,-6.634709190710001
2007--Mendelev-M-I--Zr-3--LAMMPS--ipr2,Zr,3.234055278683342,-6.634709195219497
2008--Fortini-A--Ru--LAMMPS--ipr1,Ru,2.704550284705739,-6.864537723747501
2008--Hepburn-D-J--Fe-C--LAMMPS--ipr1,Fe,2.605446503988039,-3.896812315437449
2008--Mendelev-M-I--Al--LAMMPS--ipr1,Al,2.8450797796249803,-3.38314237672565
2008--Mendelev-M-I--Cu--LAMMPS--ipr1,Cu,2.568906514207645,-3.27636385341785
2008--Zhou-X-W--Pd-H--LAMMPS--ipr1,Pd,2.7487830668157867,-3.8746315123980493
2009--Bonny-G--Fe-Cu-Ni--LAMMPS--ipr1,Cu,2.556044308419108,-3.53239813787915
2009--Bonny-G--Fe-Cu-Ni--LAMMPS--ipr1,Fe,2.6206364954206087,-4.004927029539999
2009--Bonny-G--Fe-Ni--LAMMPS--ipr1,Fe,2.6206364954206087,-4.004927029539999
2009--Mendelev-M-I--Al-Mg--LAMMPS--ipr1,Al,2.8450845630711425,-3.3831423915694
2009--Mendelev-M-I--Al-Mg--LAMMPS--ipr1,Mg,3.184214692346723,-1.5286860709838503
2009--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Zr,3.2202984315406376,-6.469265894835
2009--Purja-Pun-G-P--Ni-Al--LAMMPS--ipr1,Al,2.8191118806716315,-3.3322137365476006
2009--Purja-Pun-G-P--Ni-Al--LAMMPS--ipr1,Ni,2.4818885159374746,-4.427868271293
2009--Wu-H-H--Cu-Ag--LAMMPS--ipr1,Ag,2.896406708084421,-2.8461492951543494
2009--Wu-H-H--Cu-Ag--LAMMPS--ipr1,Cu,2.47029631414978,-3.3149525189159004
2009--Zhakhovskii-V-V--Al--LAMMPS--ipr2,Al,2.848984014323653,-3.35720017650665
