,family,potential_LAMMPS_id,composition,num_melts,T_melt_mean,T_melt_std
0,A1--Cu--fcc,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,Cu,10,1250.6891838005477,0.8888468891972334
1,A1--Cu--fcc,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,Ni,10,1817.6453062387634,1.1610758814778686
2,A1--Cu--fcc,1986--Foiles-S-M--Ag--LAMMPS--ipr1,Ag,10,1144.5255333851298,0.7940127028697095
3,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ag,10,1144.5255333851298,0.7940127028697095
4,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,10,1104.601037058744,1.9055963265002962
5,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,10,1279.7187164767488,0.9966166060552317
6,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,10,1708.2161993637187,1.4616984756584956
7,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,10,1422.5131580749098,1.7370693100751413
8,A1--Cu--fcc,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,10,1534.0698021068004,1.0642920709840304
9,A1--Cu--fcc,1986--Foiles-S-M--Au--LAMMPS--ipr1,Au,10,1104.601037058744,1.905596326500296
10,A1--Cu--fcc,1986--Foiles-S-M--Cu--LAMMPS--ipr1,Cu,10,1279.7187164767488,0.9966166060552316
11,A1--Cu--fcc,1986--Foiles-S-M--Ni--LAMMPS--ipr1,Ni,10,1708.2161993637187,1.4616984756584956
12,A1--Cu--fcc,1986--Foiles-S-M--Pd--LAMMPS--ipr1,Pd,10,1422.5131580749098,1.7370693100751413
13,A1--Cu--fcc,1986--Foiles-S-M--Pt--LAMMPS--ipr1,Pt,10,1534.0698021068004,1.0642920709840304
14,A1--Cu--fcc,1987--Ackland-G-J--Ag--LAMMPS--ipr1,Ag,10,1462.8371888156403,0.8648761332540689
15,A1--Cu--fcc,1987--Ackland-G-J--Ag--LAMMPS--ipr2,Ag,10,1463.1257112934823,1.7952563840948748
16,A1--Cu--fcc,1987--Ackland-G-J--Au--LAMMPS--ipr1,Au,10,1415.14927799498,0.9198344572418067
17,A1--Cu--fcc,1987--Ackland-G-J--Au--LAMMPS--ipr2,Au,10,1413.3340565458998,0.9069463395128662
18,A1--Cu--fcc,1987--Ackland-G-J--Cu--LAMMPS--ipr1,Cu,0,,
19,A1--Cu--fcc,1987--Ackland-G-J--Cu--LAMMPS--ipr2,Cu,2,1270.6393145204534,7.995458000336617
20,A1--Cu--fcc,1987--Ackland-G-J--Ni--LAMMPS--ipr1,Ni,10,1262.18033900552,0.6405449368038221
21,A1--Cu--fcc,1987--Ackland-G-J--Ni--LAMMPS--ipr2,Ni,10,1400.6299921476207,0.7055583166300442
22,A1--Cu--fcc,1989--Adams-J-B--Ag--LAMMPS--ipr1,Ag,10,1144.5339924332634,0.8551375887695848
23,A1--Cu--fcc,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ag,10,1144.5339924332634,0.8551375887695848
24,A1--Cu--fcc,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,10,1114.5196161238491,0.8912212650061866
25,A1--Cu--fcc,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,10,1313.5341075540296,0.7838679972312199
26,A1--Cu--fcc,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,10,1766.1226002980325,0.673763702369689
27,A1--Cu--fcc,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,10,1563.287228602894,1.8515010863731536
28,A1--Cu--fcc,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,10,1601.1178879606105,1.604128301487317
29,A1--Cu--fcc,1989--Adams-J-B--Au--LAMMPS--ipr1,Au,10,1114.5196161238496,0.8912212650061868
30,A1--Cu--fcc,1989--Adams-J-B--Cu--LAMMPS--ipr1,Cu,10,1313.5341075540296,0.7838679972312199
31,A1--Cu--fcc,1989--Adams-J-B--Ni--LAMMPS--ipr1,Ni,10,1766.1226002980325,0.6737637023696887
32,A1--Cu--fcc,1989--Adams-J-B--Pd--LAMMPS--ipr1,Pd,10,1563.287228602894,1.8515010863731536
33,A1--Cu--fcc,1989--Adams-J-B--Pt--LAMMPS--ipr1,Pt,10,1601.1178879606102,1.604128301487317
34,A1--Cu--fcc,1990--Ackland-G-J--Cu--LAMMPS--ipr2,Cu,10,1286.4467690258357,0.9837285937250358
35,A1--Cu--fcc,1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Ag,10,1463.7002998652097,0.9352607565699094
36,A1--Cu--fcc,1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Au,10,1410.6547161720462,1.469181645678452
37,A1--Cu--fcc,1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Cu,10,1289.5577943604007,0.5501760634549854
38,A1--Cu--fcc,1992--Ackland-G-J--Ti--LAMMPS--ipr1,Ti,10,1311.3325399659502,1.0023827176423667
